starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 14 21:35:09 2019	1550180109	53	15	68	15
Thu Feb 14 21:35:08 2019	1550180108	53	17	70	17
Thu Feb 14 21:35:08 2019	1550180108	53	17	70	17
Thu Feb 14 21:35:09 2019	1550180109	52	22	75	22
Thu Feb 14 21:35:10 2019	1550180110	60	15	75	15
Thu Feb 14 21:35:09 2019	1550180109	52	22	75	21
Thu Feb 14 21:35:10 2019	1550180110	58	17	75	17
Thu Feb 14 21:35:09 2019	1550180109	57	18	75	18
Thu Feb 14 21:35:08 2019	1550180108	59	16	75	16
Thu Feb 14 21:35:05 2019	1550180105	59	18	77	18
Thu Feb 14 21:35:09 2019	1550180109	60	18	78	18
Thu Feb 14 21:35:09 2019	1550180109	63	15	78	15
Thu Feb 14 21:35:09 2019	1550180109	61	17	78	17
Thu Feb 14 21:35:09 2019	1550180109	62	16	78	16
Thu Feb 14 21:35:10 2019	1550180110	59	20	79	19
Thu Feb 14 21:35:10 2019	1550180110	62	17	79	17
Thu Feb 14 21:35:10 2019	1550180110	59	20	79	18
Thu Feb 14 21:35:09 2019	1550180109	60	19	79	19
Thu Feb 14 21:35:09 2019	1550180109	56	24	80	23
Thu Feb 14 21:35:09 2019	1550180109	64	16	80	16
Thu Feb 14 21:35:07 2019	1550180107	65	15	80	15
Thu Feb 14 21:35:09 2019	1550180109	55	25	80	23
Thu Feb 14 21:35:09 2019	1550180109	64	17	80	17
Thu Feb 14 21:35:09 2019	1550180109	60	20	80	20
Thu Feb 14 21:35:09 2019	1550180109	65	15	81	15
Thu Feb 14 21:35:10 2019	1550180110	60	21	81	21
Thu Feb 14 21:35:09 2019	1550180109	61	20	81	20
Thu Feb 14 21:35:09 2019	1550180109	63	19	82	19
Thu Feb 14 21:35:09 2019	1550180109	58	24	83	24
Thu Feb 14 21:35:09 2019	1550180109	60	23	83	22
Thu Feb 14 21:35:09 2019	1550180109	66	17	83	17
Thu Feb 14 21:35:10 2019	1550180110	66	18	83	18
Thu Feb 14 21:35:10 2019	1550180110	62	21	83	21
Thu Feb 14 21:35:09 2019	1550180109	67	17	84	16
Thu Feb 14 21:35:09 2019	1550180109	64	20	84	19
Thu Feb 14 21:35:09 2019	1550180109	67	17	84	16
Thu Feb 14 21:35:10 2019	1550180110	69	16	84	16
Thu Feb 14 21:35:09 2019	1550180109	65	20	85	20
Thu Feb 14 21:35:09 2019	1550180109	70	15	85	15
Thu Feb 14 21:35:09 2019	1550180109	63	22	85	20
Thu Feb 14 21:35:09 2019	1550180109	65	20	85	20
Thu Feb 14 21:35:10 2019	1550180110	65	21	85	21
Thu Feb 14 21:35:06 2019	1550180106	55	30	85	30
Thu Feb 14 21:35:08 2019	1550180108	63	23	86	22
Thu Feb 14 21:35:09 2019	1550180109	64	23	87	23
Thu Feb 14 21:35:07 2019	1550180107	63	26	89	25
Thu Feb 14 21:35:10 2019	1550180110	73	16	89	16
Thu Feb 14 21:35:08 2019	1550180108	71	18	89	17
Thu Feb 14 21:35:07 2019	1550180107	64	25	89	24
Thu Feb 14 21:35:07 2019	1550180107	63	26	89	25
Thu Feb 14 21:35:10 2019	1550180110	67	22	89	22
Thu Feb 14 21:35:09 2019	1550180109	69	21	90	19
Thu Feb 14 21:35:08 2019	1550180108	72	18	90	17
Thu Feb 14 21:35:09 2019	1550180109	51	40	91	38
Thu Feb 14 21:35:10 2019	1550180110	58	34	91	33
Thu Feb 14 21:35:09 2019	1550180109	64	28	92	25
Thu Feb 14 21:35:09 2019	1550180109	65	28	93	24
Thu Feb 14 21:35:09 2019	1550180109	66	27	93	25
Thu Feb 14 21:35:09 2019	1550180109	53	40	93	39
Thu Feb 14 21:35:07 2019	1550180107	64	29	93	29
Thu Feb 14 21:35:10 2019	1550180110	74	20	93	20
Thu Feb 14 21:35:09 2019	1550180109	75	18	94	18
Thu Feb 14 21:35:09 2019	1550180109	75	19	94	19
Thu Feb 14 21:35:06 2019	1550180106	76	18	94	17
Thu Feb 14 21:35:09 2019	1550180109	66	29	95	27
Thu Feb 14 21:35:07 2019	1550180107	73	22	96	22
Thu Feb 14 21:35:09 2019	1550180109	77	19	96	19
Thu Feb 14 21:35:07 2019	1550180107	74	21	96	21
Thu Feb 14 21:35:10 2019	1550180110	71	25	96	23
Thu Feb 14 21:35:10 2019	1550180110	71	25	96	23
Thu Feb 14 21:35:07 2019	1550180107	72	24	96	24
Thu Feb 14 21:35:08 2019	1550180108	75	22	97	20
Thu Feb 14 21:35:06 2019	1550180106	81	16	97	16
Thu Feb 14 21:35:07 2019	1550180107	74	23	97	23
Thu Feb 14 21:35:07 2019	1550180107	70	27	97	26
Thu Feb 14 21:35:10 2019	1550180110	74	23	97	23
Thu Feb 14 21:35:08 2019	1550180108	74	23	97	23
Thu Feb 14 21:35:07 2019	1550180107	71	27	98	26
Thu Feb 14 21:35:09 2019	1550180109	78	20	98	20
Thu Feb 14 21:35:07 2019	1550180107	71	27	98	26
Thu Feb 14 21:35:08 2019	1550180108	74	24	98	24
Thu Feb 14 21:35:08 2019	1550180108	75	23	98	23
Thu Feb 14 21:35:09 2019	1550180109	81	17	98	17
Thu Feb 14 21:35:09 2019	1550180109	51	48	99	43
Thu Feb 14 21:35:09 2019	1550180109	81	17	99	17
Thu Feb 14 21:35:08 2019	1550180108	76	24	99	23
Thu Feb 14 21:35:09 2019	1550180109	76	23	99	23
Thu Feb 14 21:35:07 2019	1550180107	73	26	100	26
Thu Feb 14 21:35:09 2019	1550180109	80	20	100	19
Thu Feb 14 21:35:09 2019	1550180109	83	18	101	17
Thu Feb 14 21:35:07 2019	1550180107	83	18	101	17
Thu Feb 14 21:35:07 2019	1550180107	73	28	101	28
Thu Feb 14 21:35:09 2019	1550180109	77	24	101	24
Thu Feb 14 21:35:07 2019	1550180107	81	20	102	19
Thu Feb 14 21:35:07 2019	1550180107	81	21	102	21
Thu Feb 14 21:35:09 2019	1550180109	83	19	102	19
Thu Feb 14 21:35:09 2019	1550180109	79	24	103	24
Thu Feb 14 21:35:07 2019	1550180107	88	16	104	16
Thu Feb 14 21:35:07 2019	1550180107	86	18	104	17
Thu Feb 14 21:35:10 2019	1550180110	81	24	104	23
Thu Feb 14 21:35:08 2019	1550180108	73	31	104	31
Thu Feb 14 21:35:07 2019	1550180107	82	22	104	22
Thu Feb 14 21:35:06 2019	1550180106	85	20	105	20
Thu Feb 14 21:35:08 2019	1550180108	81	24	105	23
Thu Feb 14 21:35:08 2019	1550180108	75	30	105	30
Thu Feb 14 21:35:08 2019	1550180108	89	17	106	17
Thu Feb 14 21:35:05 2019	1550180105	69	38	106	36
Thu Feb 14 21:35:08 2019	1550180108	61	46	107	46
Thu Feb 14 21:35:07 2019	1550180107	91	17	108	17
Thu Feb 14 21:35:09 2019	1550180109	93	16	109	15
Thu Feb 14 21:35:05 2019	1550180105	80	29	109	29
Thu Feb 14 21:35:08 2019	1550180108	83	26	109	26
Thu Feb 14 21:35:10 2019	1550180110	85	24	109	24
Thu Feb 14 21:35:08 2019	1550180108	90	20	110	20
Thu Feb 14 21:35:07 2019	1550180107	71	39	110	38
Thu Feb 14 21:35:07 2019	1550180107	87	23	110	23
Thu Feb 14 21:35:06 2019	1550180106	68	42	110	41
Thu Feb 14 21:35:06 2019	1550180106	88	23	111	21
Thu Feb 14 21:35:06 2019	1550180106	88	23	111	21
Thu Feb 14 21:35:10 2019	1550180110	88	23	111	23
Thu Feb 14 21:35:06 2019	1550180106	89	23	112	21
Thu Feb 14 21:35:05 2019	1550180105	80	32	112	32
Thu Feb 14 21:35:10 2019	1550180110	92	20	112	20
Thu Feb 14 21:35:09 2019	1550180109	71	42	112	40
Thu Feb 14 21:35:05 2019	1550180105	96	17	113	16
Thu Feb 14 21:35:07 2019	1550180107	93	20	113	20
Thu Feb 14 21:35:07 2019	1550180107	93	21	113	20
Thu Feb 14 21:35:06 2019	1550180106	90	24	114	21
Thu Feb 14 21:35:05 2019	1550180105	71	43	114	41
Thu Feb 14 21:35:10 2019	1550180110	86	28	114	28
Thu Feb 14 21:35:07 2019	1550180107	93	21	115	20
Thu Feb 14 21:35:05 2019	1550180105	74	40	115	40
Thu Feb 14 21:35:10 2019	1550180110	98	18	115	17
Thu Feb 14 21:35:08 2019	1550180108	95	21	116	21
Thu Feb 14 21:35:06 2019	1550180106	95	21	116	21
Thu Feb 14 21:35:10 2019	1550180110	87	29	116	29
Thu Feb 14 21:35:07 2019	1550180107	70	46	116	46
Thu Feb 14 21:35:07 2019	1550180107	72	45	116	44
Thu Feb 14 21:35:05 2019	1550180105	89	27	117	27
Thu Feb 14 21:35:07 2019	1550180107	61	55	117	55
Thu Feb 14 21:35:07 2019	1550180107	61	55	117	55
Thu Feb 14 21:35:07 2019	1550180107	87	30	117	30
Thu Feb 14 21:35:07 2019	1550180107	101	16	118	16
Thu Feb 14 21:35:08 2019	1550180108	102	17	118	16
Thu Feb 14 21:35:08 2019	1550180108	89	30	119	29
Thu Feb 14 21:35:08 2019	1550180108	102	17	119	17
Thu Feb 14 21:35:05 2019	1550180105	72	47	119	47
Thu Feb 14 21:35:08 2019	1550180108	100	19	119	19
Thu Feb 14 21:35:07 2019	1550180107	69	50	119	50
